Name,Series,Year,Used Sales Data,Used Minifig-only Sales Data,New Sales Data,Leg Sales,Torso Sales,Head Sales,Hair/Hat Sales,MassComplete,MassMinifig,Gendered,Human,HeadOnly,BodySuit,LivingAddOn,HandsFull,NumberofAccessories,Number of Parts
Zombie Businessman,14,2015,4.07,3.56,5.56,0.51,1.04,1.04,2.18,10.79,3.58,0,0,0,0,0,1,2,4
Banshee,14,2015,4.26,3.95,5.81,0.82,1.32,1,1.92,12.19,5.9,1,0,0,0,0,0,0,4
Square Foot,14,2015,3.54,3.08,5.1,0.57,1.24,0.78,0.78,10.85,4.16,0,0,1,0,0,0,1,3
Spider Lady,14,2015,4.14,3.55,6.05,0.67,0.71,0.61,1.01,12.5,5.39,1,1,0,0,1,0,1,6
Farmer,15,2016,4.22,2.82,6.95,0.94,0.62,0.65,0.7,13.7,3.82,0,1,0,0,1,0,2,4
Astronaut,15,2016,3.15,3.88,4.41,0.46,0.77,0.61,0.54,11.46,4.27,0,1,0,0,0,0,2,6
Frightening Knight,15,2016,3.96,3.35,5.53,0.93,1.26,0.58,0.65,11.33,4.14,0,1,0,0,0,1,3,6
Clumsy guy,15,2016,2.79,2.22,4.09,0.56,0.77,0.5,0.73,10.52,3.42,0,1,0,0,0,1,2,4
Tribal woman,15,2016,4.48,3.52,6,0.7,0.78,0.47,1.17,10.87,3.99,1,1,0,0,1,0,1,6
Flying Warrior,15,2016,3.77,3.98,5.16,1.03,1.15,0.72,1.17,13.16,6.46,0,1,0,0,0,0,1,9
Faun,15,2016,2.64,3.05,4.13,0.99,1.05,0.51,0.77,10.39,3.92,0,0,0,0,0,0,1,4
Animal Control,15,2016,3.84,2.34,5.57,0.74,0.66,0.65,0.35,12.53,3.61,1,1,0,0,1,0,2,4
Janitor,15,2016,2.94,2.72,3.88,0.62,0.72,0.57,0.81,10.88,3.41,0,1,0,0,0,0,2,4
Ballerina,15,2016,3.93,3.55,6.14,0.76,2.26,1.11,0.69,10.89,4.57,1,1,0,0,0,0,0,5
Laser Mech,15,2016,2.91,3.66,5.47,0.52,1.13,0.54,0.58,11.75,5.55,0,0,0,0,0,0,1,7
Kendo Fighter,15,2016,2.58,2.01,4.02,0.69,0.66,0.44,0.39,10.56,3.84,0,1,0,0,0,1,2,4
Shark Suit Guy,15,2016,4.96,5.13,8.09,0.48,1.22,1.2,1.73,12.7,6.35,0,1,0,1,0,0,0,4
Wrestling Champion,15,2016,2.77,2.24,3.8,0.51,0.52,0.35,1.18,10.8,3.8,0,1,0,0,0,0,1,4
Jewel Thief,15,2016,2.44,2.41,4.14,0.67,0.88,0.71,0.58,11,3.88,1,1,0,0,0,1,3,4
Queen,15,2016,3.82,3.57,6.3,0.66,0.83,0.68,0.67,12.7,6.46,1,1,0,0,0,0,0,7
Ice Queen,16,2016,3.58,4.01,5.8,0.38,0.89,0.82,0.87,11.9,4.8,1,1,0,0,0,1,4,7
Arabian Knight,16,2016,2.35,2.37,3.83,0.65,0.56,0.76,0.46,11.2,4.3,0,1,0,0,0,0,1,4
Cyborg,16,2016,2.76,2.17,3.91,0.35,0.62,0.42,0.79,11.9,5.1,0,1,0,0,0,0,2,5
Imp,16,2016,3.53,3.43,5.74,0.35,0.86,0.79,1.01,11.8,4.2,0,1,0,0,0,1,3,6
Spooky Boy,16,2016,2.52,2.91,4.6,0.74,0.84,0.56,1.19,11.1,3.7,0,1,0,0,1,1,2,4
Hiker,16,2016,3.77,3.46,5.36,0.9,0.44,0.79,1.42,12,4.9,0,1,0,0,0,1,2,5
Wildlife Photographer,16,2016,3.93,2.09,5.59,0.79,0.84,0.52,0.48,12.2,4.2,0,1,0,0,1,0,3,4
Kickboxer Girl,16,2016,2.64,3.07,4.36,0.66,0.65,0.58,1.15,11.7,4.5,1,1,0,0,0,0,2,4
Scallywag pirate,16,2016,2.53,2.94,4.13,0.48,0.71,0.59,1.18,10.3,3.4,0,1,0,0,0,1,2,4
Penguin Suit Guy,16,2016,5.52,5.6,8.2,0.98,1.75,0.86,1.8,10.2,3.9,0,1,0,1,0,0,0,6
Rogue,16,2016,3.25,3.44,4.68,0.7,0.8,0.5,0.96,10.8,4.3,0,1,0,0,0,0,1,5
Dog Show Winner,16,2016,3.2,2.67,4.83,0.47,0.43,0.58,1.1,11.7,3.5,0,1,0,0,1,0,2,4
Serenader,16,2016,3.65,3.25,4.95,0.66,0.67,0.68,0.93,11.8,4.6,0,1,0,0,0,0,1,5
Spy,16,2016,2.19,2.14,3.93,0.54,0.48,0.51,0.63,11,4.3,0,1,0,0,0,1,2,6
Banana Man,16,2016,4.23,4.52,6.24,0.6,1.19,0.95,1.56,12.7,6.4,0,1,0,1,0,0,0,4
Babysitter,16,2016,5.5,4.01,8.33,0.48,0.9,0.82,1.01,11.2,3.9,1,1,0,0,1,1,2,4
